class,scorer,epoch,AUROC
ToyConveyor,teacher-maha,2,63.788
ToyConveyor,teacher-maha,4,63.788
ToyConveyor,teacher-maha,6,63.788
ToyConveyor,teacher-maha,8,63.788
ToyConveyor,teacher-maha,10,63.788
ToyConveyor,teacher-maha,12,63.788
ToyConveyor,teacher-maha,14,63.788
ToyConveyor,teacher-maha,16,63.788
ToyConveyor,teacher-maha,18,63.788
ToyConveyor,teacher-maha,20,63.788
ToyConveyor,teacher-maha,22,63.788
ToyConveyor,teacher-maha,24,63.788
ToyConveyor,teacher-maha,26,63.788
ToyConveyor,teacher-maha,28,63.788
ToyConveyor,teacher-maha,30,63.788
ToyConveyor,teacher-maha,32,63.788
ToyConveyor,teacher-maha,34,63.788
ToyConveyor,teacher-maha,36,63.788
ToyConveyor,teacher-maha,38,63.788
ToyConveyor,teacher-maha,40,63.788
ToyConveyor,teacher-maha,42,63.788
ToyConveyor,teacher-maha,44,63.788
ToyConveyor,teacher-maha,46,63.788
ToyConveyor,teacher-maha,48,63.788
ToyConveyor,teacher-maha,50,63.788
ToyConveyor,teacher-knn,2,64.157
ToyConveyor,teacher-knn,4,64.157
ToyConveyor,teacher-knn,6,64.157
ToyConveyor,teacher-knn,8,64.157
ToyConveyor,teacher-knn,10,64.157
ToyConveyor,teacher-knn,12,64.157
ToyConveyor,teacher-knn,14,64.157
ToyConveyor,teacher-knn,16,64.157
ToyConveyor,teacher-knn,18,64.157
ToyConveyor,teacher-knn,20,64.157
ToyConveyor,teacher-knn,22,64.157
ToyConveyor,teacher-knn,24,64.157
ToyConveyor,teacher-knn,26,64.157
ToyConveyor,teacher-knn,28,64.157
ToyConveyor,teacher-knn,30,64.157
ToyConveyor,teacher-knn,32,64.157
ToyConveyor,teacher-knn,34,64.157
ToyConveyor,teacher-knn,36,64.157
ToyConveyor,teacher-knn,38,64.157
ToyConveyor,teacher-knn,40,64.157
ToyConveyor,teacher-knn,42,64.157
ToyConveyor,teacher-knn,44,64.157
ToyConveyor,teacher-knn,46,64.157
ToyConveyor,teacher-knn,48,64.157
ToyConveyor,teacher-knn,50,64.157
