class,scan,epoch,AUROC
ToyConveyor,zigzag,10,62.455
ToyConveyor,zigzag,12,62.169
ToyConveyor,zigzag,14,62.119
ToyConveyor,zigzag,16,62.539
ToyConveyor,zigzag,18,62.965
ToyConveyor,zigzag,20,63.357
ToyConveyor,zigzag,22,63.93
ToyConveyor,zigzag,24,64.178
ToyConveyor,zigzag,26,64.491
ToyConveyor,zigzag,28,64.382
ToyConveyor,zigzag,30,63.94
ToyConveyor,zigzag,32,64.602
ToyConveyor,zigzag,34,64.326
ToyConveyor,zigzag,36,64.741
ToyConveyor,zigzag,38,64.868
ToyConveyor,zigzag,40,65.271
ToyConveyor,zigzag,42,65.356
ToyConveyor,zigzag,44,65.59
ToyConveyor,zigzag,46,65.505
ToyConveyor,zigzag,48,65.442
ToyConveyor,zigzag,50,65.353
